living_method,sector,living_year,bone_window,bone_years_used,living_count,living_taxa,bone_MNI,bone_taxa,bone_MNI_ge_10,pearson_p,bray_curtis,pearson,spearman,taxa_compared
aerial,Western,2014,1,"2013, 2014",6414.0,12,60.0,8,True,7.017577187853171e-05,0.36312753352042415,0.8460901403183488,0.6853612299880332,15
aerial,Western,2015,1,2014,6112.0,13,39.0,6,True,0.000123291781435775,0.4038377634581823,0.8311668638096578,0.4785876314184084,15
ground,Eastern,1997,1,1998,3501.0,14,25.0,8,True,1.8057644350588482e-06,0.250694087403599,0.9273973448452785,0.6096609748088209,14
ground,Eastern,1998,0,1998,3610.0,14,25.0,8,True,1.0787811122676195e-05,0.27811634349030473,0.9012522919055924,0.6166152825062599,14
ground,Eastern,1998,1,1998,3610.0,14,25.0,8,True,1.0787811122676195e-05,0.27811634349030473,0.9012522919055924,0.6166152825062599,14
ground,Eastern,1999,1,1998,3615.0,14,25.0,8,True,0.0020087144038857256,0.36785615491009693,0.7499419107542562,0.5656170260583737,14
ground,Eastern,2001,1,2002,2902.0,13,23.0,5,True,1.1056666893678362e-07,0.27555209300931893,0.9548750046504082,0.7362121237184888,14
ground,Eastern,2002,0,2002,811.0,13,23.0,5,True,0.0008984779695005693,0.3991315069961937,0.7842467788427404,0.7952117015774617,14
ground,Eastern,2002,1,"2002, 2003",811.0,13,33.0,8,True,0.0022857882362064623,0.3823562380899004,0.743884836913881,0.8297887987611369,14
ground,Eastern,2003,0,2003,4344.0,12,10.0,5,True,9.980387648722264e-05,0.3623848987108655,0.8543885519235143,0.541494098795949,14
ground,Eastern,2003,1,"2002, 2003",4344.0,12,33.0,8,True,0.000509829049950729,0.3920559182990121,0.8052857010977027,0.7321442769637341,14
